date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2014-03-26,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-27,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-28,1.0,1.0,1.0,1.0,1.0,1.0
2014-03-31,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-01,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-02,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-03,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-04,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-08,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-09,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-11,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-14,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-15,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-16,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-18,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-21,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-22,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-23,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-25,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-28,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-29,1.0,1.0,1.0,1.0,1.0,1.0
2014-04-30,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-05,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-06,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-07,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-08,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-09,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-12,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-13,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-14,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-15,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-16,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-19,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-20,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-21,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-22,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-23,1.0,1.0,1.0,1.0,1.0,1.0
2014-05-26,1.0,1.0,1.0,1.0,1.0,1.0
