date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2021-12-28,2.873527105567567,1.3852770836098816,0.8547794897633285,0.587450046535212,0.4227870818812535,1.3832000769187665
2021-12-29,2.882725259329322,1.387318184260832,0.8540324081266334,0.5862371592305134,0.4197710595948729,1.3817066917083298
2021-12-30,2.9054337302823012,1.396319842278474,0.8581605753336237,0.5910025223888841,0.42304562994034606,1.392990245574539
2021-12-31,2.9248830250601263,1.4071120716703835,0.864131281267279,0.5955149841750403,0.425746113336505,1.4028524563742129
2022-01-04,2.992791741945253,1.4352738851303213,0.8759347281681441,0.6019975413317289,0.42465427692272983,1.421148997435738
2022-01-05,2.9743621794869353,1.4245755744803863,0.8642138849512754,0.5915732847614732,0.4158661047764346,1.4026729852358175
2022-01-06,3.0034940899867264,1.438419917271012,0.8739670429412251,0.5973822952541326,0.41792400599635277,1.4154558839769065
2022-01-07,2.9632036321373705,1.4171117409901948,0.862874947284039,0.5892041920270488,0.411020463646419,1.3967885796803219
2022-01-10,2.997556807897079,1.4293236991957416,0.8690310783296781,0.5930590619122891,0.4126181918469614,1.4073415145396782
2022-01-11,3.0088326045427425,1.430257455838313,0.8677488821116934,0.5896817719202138,0.40757385521189554,1.403124216341824
2022-01-12,3.047304763565912,1.4477627822041972,0.8768512910058026,0.5965128316350701,0.4134855566795124,1.4204128727850769
2022-01-13,3.051338756946841,1.4424370392026018,0.8713338791232218,0.5894848666781284,0.4052384138295099,1.4089422979232504
2022-01-14,3.003153897444983,1.4185615253484747,0.8633170530140014,0.5864148155634789,0.4047898850170746,1.3969632062840225
2022-01-17,3.0453154416808697,1.436239420437174,0.8725892944093536,0.5928640918614926,0.4093053880263384,1.4135580870340487
2022-01-18,2.99108046282327,1.416101483644563,0.8635997813330318,0.5897749511514557,0.4094209926889322,1.4002539113734571
2022-01-19,3.0228802622680706,1.4212203092631777,0.8631567301322058,0.5886316069536357,0.4056832310387926,1.40100085730874
2022-01-20,2.945084885069013,1.3874051641946759,0.843530715403421,0.5771406957970764,0.4019059566390682,1.372674390337096
2022-01-21,2.9378844039135066,1.3797674878893085,0.833818433848266,0.5688726781896893,0.3960552904036965,1.3606761399756806
2022-01-24,2.912386408209699,1.3704963169552444,0.8320044909430099,0.5699859417187012,0.39736214381265617,1.3573240432397708
2022-01-25,2.806012710883764,1.316455297106896,0.7985556594815877,0.5474058667203268,0.38208493037063773,1.3046006305067186
2022-01-26,2.8389595777350047,1.3284670931019265,0.8046649274404791,0.5521259104709679,0.38387728774302593,1.315515217958442
2022-01-27,2.758299559584569,1.2926625127461682,0.7813475179779068,0.5354201670103418,0.37307088499815777,1.277957673919668
2022-01-28,2.8178324391089684,1.315629199504393,0.790018150473014,0.5385250338422071,0.3703146906073915,1.2916684477919305
2022-02-07,2.862211004617188,1.3359658437941266,0.8041804551353938,0.5493600667208167,0.37612742531003995,1.3136127136131215
2022-02-08,2.9317551990160604,1.363113327519204,0.8190629223482329,0.5571464894875765,0.37971417086489906,1.3364254913995366
2022-02-09,2.953148119196801,1.3757578837267184,0.8304429832895883,0.5658252778105968,0.3882902578405785,1.354770465542954
2022-02-10,2.9551833084244663,1.3726798418651058,0.8317161987170213,0.5654339081675616,0.3898345339921256,1.3556582614779973
2022-02-11,2.9080979518744527,1.3464488449755787,0.8154494460846176,0.5551985777150177,0.38417661721009977,1.3332875476932275
2022-02-14,2.927950285933176,1.3492647938839106,0.8154090383212445,0.5540140097654582,0.3813281115904596,1.333106284649999
2022-02-15,2.924769583534103,1.3493211566223238,0.8157731904344593,0.5572541615710855,0.3850357628456532,1.3370985470211003
2022-02-16,2.976650992641307,1.3678605037171432,0.8253373097787797,0.5629193563043475,0.3872812564774791,1.3529299434816229
2022-02-17,2.9624232602575686,1.3620283460820914,0.8215161116017524,0.5600181735157828,0.38799255335121263,1.348332545969913
2022-02-18,2.9862910344071905,1.3714831271618944,0.8278319763981784,0.5638781488124152,0.3917934581859251,1.360162544500825
2022-02-21,3.0263397450751586,1.3914465757364032,0.8389679799484766,0.5710097923118976,0.39574948288067635,1.3776174390213933
2022-02-22,3.0011788251082288,1.3763351006663893,0.829072878987355,0.5639476955800037,0.39224194004180823,1.3632363590327707
2022-02-23,3.0304610280734456,1.3905954271498828,0.8395075473545427,0.5717241407148712,0.39626642233808157,1.378709231341522
2022-02-24,2.9669398101617235,1.3588526648415946,0.822345712926138,0.5585402187832929,0.38557215929364536,1.3471989966124056
