,rank_ic
2018-12-19,-0.09829646805918282
2018-12-26,-0.15797020781913457
2019-01-04,-0.17221776531333066
2019-01-11,-0.027564020086689647
2019-01-18,-0.05376840955094985
2019-01-25,0.2100202896130425
2019-02-01,0.026455733837468572
2019-02-15,0.1413540257965684
2019-02-22,-0.13239308704508962
2019-03-01,-0.12418829960649581
2019-03-08,-0.1681329723030707
2019-03-15,-0.2554996397853866
2019-03-22,0.0434566445492785
2019-03-29,-0.13571039330321763
2019-04-08,-0.10342945539596562
2019-04-15,-0.10090988175129353
2019-04-22,-0.10159256295288036
2019-04-29,-0.2069374739250452
2019-05-09,-0.0682835545272177
2019-05-16,-0.11278362686157457
2019-05-23,-0.06390000805088085
2019-05-30,-0.038476052249515724
2019-06-06,-0.10463725096544829
2019-06-14,-0.03102209294813324
2019-06-21,0.022169636776217583
2019-06-28,-0.20092314593444455
2019-07-05,-0.06998455758632623
2019-07-12,-0.032806339861659234
2019-07-19,0.04605400233840319
2019-07-26,-0.1174895610968444
2019-08-02,0.1352003567181241
2019-08-09,0.05333256953428415
2019-08-16,-0.08224438795794131
2019-08-23,-0.12210018203132782
2019-08-30,0.07119699960179053
2019-09-06,-0.17784091890663042
2019-09-16,-0.11342177056587291
2019-09-23,-0.20080680995017486
2019-09-30,-0.1459207930750364
2019-10-14,-0.060762418886054534
2019-10-21,-0.06948795479939825
2019-10-28,0.1964855805349935
2019-11-04,-0.020538263948841586
2019-11-11,0.09678289408026435
2019-11-18,-0.2538330992432402
2019-11-25,-0.06759351407240705
2019-12-02,0.09505316692941652
2019-12-09,0.11392838612806612
2019-12-16,-0.2234954677396468
2019-12-23,-0.008174255546360644
2019-12-30,0.008070855943363311
2020-01-07,0.013614659757988475
2020-01-14,0.0651167954952765
2020-01-21,0.20444101358270717
2020-02-05,-0.03128010998936061
2020-02-12,-0.10839066316607078
2020-02-19,-0.039670536968418824
2020-02-26,-0.24850998235297062
2020-03-04,-0.3489692002068477
2020-03-11,-0.2293554219610786
2020-03-18,-0.1747246726984899
2020-03-25,-0.03186977027015205
2020-04-01,-0.06277734376943633
2020-04-09,0.07278005266341933
2020-04-16,-0.1122319758848624
2020-04-23,0.12498453365535592
2020-04-30,0.09571335238305866
2020-05-12,-0.12067162598216186
2020-05-19,-0.28889581064288955
2020-05-26,0.012492577525718378
2020-06-02,-0.026665317690170793
2020-06-09,0.007759403487733019
2020-06-16,0.13610271174110763
2020-06-23,0.06569866296635865
2020-07-02,0.2106108751337303
2020-07-09,-0.28952071016578107
2020-07-16,-0.14326046786417115
2020-07-23,0.016671174325606924
2020-07-30,-0.025364762826870193
2020-08-06,-0.32482757154494674
2020-08-13,-0.13584921754900184
2020-08-20,-0.1256007010580404
2020-08-27,-0.2206383296363658
2020-09-03,-0.2097113539383335
2020-09-10,0.12705071640882984
2020-09-17,-0.040143799577473015
2020-09-24,0.17322933497106963
2020-10-09,-0.14713450654336616
2020-10-16,-0.13533157692544745
2020-10-23,0.11846827301645765
2020-10-30,0.07245630220738722
2020-11-06,-0.22372217226003982
2020-11-13,0.0014861051361879907
2020-11-20,-0.17095015372406885
2020-11-27,-0.052031250965809586
2020-12-04,0.004478236901323613
2020-12-11,0.24596151366253566
2020-12-18,0.18889823848488035
2020-12-25,0.16949607654491403
2021-01-04,0.27141993373592965
2021-01-11,-0.3706581595482866
2021-01-18,0.1394525289581473
2021-01-25,-0.019299766781908808
2021-02-01,0.0683280533709343
2021-02-08,-0.24219480049037106
2021-02-22,-0.34011729674401997
2021-03-01,-0.37371499486109755
2021-03-08,-0.0022460688263398008
2021-03-15,-0.11042040693321278
2021-03-22,0.09571802855296166
2021-03-29,-0.1922205801035499
2021-04-06,-0.20668972783655756
2021-04-13,-0.10522997895645385
2021-04-20,0.09106980365495519
2021-04-27,-0.05533609372837778
2021-05-07,0.06686922234621188
2021-05-14,-0.10051235120168016
2021-05-21,0.17331295105419903
2021-05-28,-0.18292200985353976
2021-06-04,-0.22895281639020978
2021-06-11,-0.022085969752718218
2021-06-21,0.07608395303733538
2021-06-28,-0.13401950672124538
2021-07-05,0.12162139481113364
2021-07-12,0.10508686375380014
2021-07-19,-0.07892429548947992
2021-07-26,0.02503137770521463
2021-08-02,0.1332658947403136
2021-08-09,-0.1758688332436493
2021-08-16,0.015776326673133046
2021-08-23,-0.02434029263284732
2021-08-30,-0.08333506720844323
2021-09-06,-0.059307258685402105
2021-09-13,-0.10666926663539428
2021-09-22,-0.176029207977068
2021-09-29,-0.317551576046369
2021-10-13,0.35293831923640445
2021-10-20,0.07273783667793662
2021-10-27,-0.10352219354553309
2021-11-03,-0.3490428726608327
2021-11-10,-0.185701477085017
2021-11-17,-0.06794569426155146
2021-11-24,-0.074510086627076
2021-12-01,0.002224349558572966
2021-12-08,-0.2647638343293638
2021-12-15,-0.23418719033594998
2021-12-22,-0.27919719666130427
2021-12-29,-0.29475613163112974
2022-01-06,-0.2336629056688464
2022-01-13,-0.0034686683168315352
2022-01-20,-0.18683481921616857
2022-01-27,0.04015910574836152
2022-02-10,-0.08282514357319885
2022-02-17,-0.12283825373309484
2022-02-24,-0.15565583779793876
2022-03-03,-0.09372299966681534
2022-03-10,-0.031191074048590266
2022-03-17,-0.2336016828446928
2022-03-24,-0.017836912677504663
2022-03-31,-0.17357473712567245
2022-04-11,-0.07281906753686992
2022-04-18,-0.011392454279897234
2022-04-25,-0.0034310706577185997
2022-05-05,-0.10004747609743371
2022-05-12,-0.10880437194943052
2022-05-19,-0.1850229317456426
2022-05-26,-0.10544566911133332
2022-06-02,0.1520653446677647
2022-06-10,-0.02970855829698345
2022-06-17,-0.09844152837327502
2022-06-24,-0.08363780193147445
2022-07-01,-0.238982402921426
2022-07-08,-0.08603285928688001
2022-07-15,-0.3395911454998312
2022-07-22,-0.006630443782523231
2022-07-29,-0.12122551165272938
2022-08-05,-0.05408001141967032
2022-08-12,-0.16455884896097753
2022-08-19,-0.3247458758715422
2022-08-26,-0.37612119209493927
2022-09-02,0.08919271462983
2022-09-09,-0.09219413120481858
2022-09-19,-0.015521952880039085
2022-09-26,-0.1517827335922443
2022-10-10,-0.15173073469581547
2022-10-17,-0.09402875697943448
2022-10-24,-0.12366850362745008
2022-10-31,-0.010155784804933479
2022-11-07,-0.12529781880276794
2022-11-14,-0.2707289136485024
2022-11-21,-0.09969853035276723
2022-11-28,-0.0870465238443999
2022-12-05,-0.07818308348112883
2022-12-12,-0.07883926784165306
2022-12-19,0.10375789393309275
2022-12-26,-0.1612797171839701
2023-01-03,0.08177444022307956
2023-01-10,-0.1568913764111855
2023-01-17,-0.1439005976632569
2023-01-31,-0.35045512962807984
2023-02-07,-0.1156434788578089
2023-02-14,-0.10921308384051265
2023-02-21,-0.14582509602869098
2023-02-28,-0.16104492836070106
2023-03-07,-0.051321584665412104
2023-03-14,-0.09792927151229257
2023-03-21,0.15745354395625774
2023-03-28,0.3096503392748983
2023-04-04,-0.0826074346822008
2023-04-12,0.13145435051414367
2023-04-19,-0.24321728242217402
2023-04-26,-0.1390687057924577
2023-05-08,-0.3390766529332688
2023-05-15,-0.36387121982516296
2023-05-22,0.10806120204084661
2023-05-29,-0.018097068834219084
2023-06-05,0.06249334999433419
2023-06-12,0.1855794026307072
2023-06-19,-0.3863607636971408
2023-06-28,-0.22790434690638176
2023-07-05,-0.1408578645788644
2023-07-12,-0.3184460201937731
2023-07-19,-0.31075765682029854
2023-07-26,0.12269790895602624
2023-08-02,0.03067389102297371
2023-08-09,-0.277181232498238
2023-08-16,-0.03910226389805992
2023-08-23,-0.14990087356289686
2023-08-30,-0.21148201314882392
2023-09-06,0.010594440316383173
2023-09-13,-0.25270438761692876
2023-09-20,-0.10811051434794783
2023-09-27,0.1871723358711897
2023-10-12,-0.23963643771567972
2023-10-19,-0.2237196707449359
2023-10-26,-0.166920993644949
2023-11-02,-0.0020314310806359794
2023-11-09,-0.04950341881523975
2023-11-16,-0.31478391120596105
2023-11-23,-0.07655393684958527
2023-11-30,-0.005917588123133058
2023-12-07,-0.3080370729716763
2023-12-14,-0.15992829206023387
2023-12-21,0.014879056644520126
2023-12-28,-0.3429047210766327
2024-01-05,-0.2372367837966868
2024-01-12,0.21572672886112354
2024-01-19,-0.09152973804213801
2024-01-26,0.38174848630976055
2024-02-02,0.1549610014731983
2024-02-19,-0.40613737648280696
2024-02-26,0.49121044187705015
2024-03-04,-0.38961048365985324
2024-03-11,-0.24324920709709577
2024-03-18,-0.1603862708613255
2024-03-25,-0.34902863044865007
2024-04-01,-0.15745672575843225
2024-04-10,0.27950386718299225
2024-04-17,-0.3667355886453233
2024-04-24,-0.2291436539596034
2024-05-06,0.061665513070962664
2024-05-13,-0.04847480946061085
2024-05-20,0.058502353956089485
2024-05-27,0.36980562600450184
2024-06-03,0.060483561041159706
2024-06-11,0.056112269773823734
2024-06-18,-0.05730709714677727
2024-06-25,-0.21519336708885595
2024-07-02,0.3251986533884901
