date,nav,涨幅%,较本金盈亏
2022-08-25,635863.95,0.1853,35863.95
2022-08-26,633842.44,-0.3179,33842.44
2022-08-29,636739.08,0.457,36739.08
2022-08-30,637796.16,0.166,37796.16
2022-08-31,630871.29,-1.0857,30871.29
2022-09-01,628896.66,-0.313,28896.66
2022-09-02,633219.95,0.6874,33219.95
2022-09-05,637014.03,0.5992,37014.03
2022-09-06,640164.88,0.4946,40164.88
2022-09-07,639956.22,-0.0326,39956.22
2022-09-08,637942.83,-0.3146,37942.83
2022-09-09,636647.25,-0.2031,36647.25
2022-09-13,637789.88,0.1795,37789.88
2022-09-14,635446.02,-0.3675,35446.02
2022-09-15,630485.66,-0.7806,30485.66
2022-09-16,620931.98,-1.5153,20931.98
2022-09-19,617409.84,-0.5672,17409.84
2022-09-20,621962.16,0.7373,21962.16
2022-09-21,625052.25,0.4968,25052.25
2022-09-22,622677.52,-0.3799,22677.52
2022-09-23,617943.26,-0.7603,17943.26
2022-09-26,610605.05,-1.1875,10605.05
2022-09-27,616892.5,1.0297,16892.5
2022-09-28,611678.63,-0.8452,11678.63
2022-09-29,608515.89,-0.5171,8515.89
2022-09-30,606800.91,-0.2818,6800.91
2022-10-10,601925.3,-0.8035,1925.3
2022-10-11,603688.55,0.2929,3688.55
2022-10-12,611229.94,1.2492,11229.94
2022-10-13,615082.72,0.6303,15082.72
2022-10-14,620813.18,0.9317,20813.18
2022-10-17,626655.7,0.9411,26655.7
2022-10-18,628062.36,0.2245,28062.36
2022-10-19,626853.3,-0.1925,26853.3
2022-10-20,626259.6,-0.0947,26259.6
2022-10-21,625615.84,-0.1028,25615.84
2022-10-24,619132.88,-1.0363,19132.88
2022-10-25,617318.64,-0.293,17318.64
2022-10-26,623214.96,0.9552,23214.96
2022-10-27,624684.99,0.2359,24684.99
2022-10-28,612388.71,-1.9684,12388.71
2022-10-31,615410.98,0.4935,15410.98
2022-11-01,623137.57,1.2555,23137.57
2022-11-02,626574.61,0.5516,26574.61
2022-11-03,627369.66,0.1269,27369.66
2022-11-04,631461.38,0.6522,31461.38
2022-11-07,635725.05,0.6752,35725.05
2022-11-08,636900.32,0.1849,36900.32
2022-11-09,637827.78,0.1456,37827.78
2022-11-10,638797.44,0.152,38797.44
2022-11-11,641559.19,0.4323,41559.19
2022-11-14,641972.72,0.0645,41972.72
2022-11-15,646095.9,0.6423,46095.9
2022-11-16,646791.69,0.1077,46791.69
2022-11-17,649576.77,0.4306,49576.77
2022-11-18,646400.32,-0.489,46400.32
2022-11-21,646140.18,-0.0402,46140.18
2022-11-22,645428.27,-0.1102,45428.27
2022-11-23,643867.33,-0.2418,43867.33
2022-11-24,644238.9,0.0577,44238.9
2022-11-25,644697.84,0.0712,44697.84
2022-11-28,644186.93,-0.0792,44186.93
2022-11-29,651834.12,1.1871,51834.12
2022-11-30,651824.49,-0.0015,51824.49
2022-12-01,651154.53,-0.1028,51154.53
2022-12-02,653908.26,0.4229,53908.26
2022-12-05,657432.88,0.539,57432.88
2022-12-06,655738.72,-0.2577,55738.72
2022-12-07,655953.84,0.0328,55953.84
2022-12-08,656344.84,0.0596,56344.84
2022-12-09,655572.16,-0.1177,55572.16
2022-12-12,653782.2,-0.273,53782.2
2022-12-13,656600.39,0.4311,56600.39
2022-12-14,656041.28,-0.0852,56041.28
2022-12-15,655390.37,-0.0992,55390.37
2022-12-16,654227.8,-0.1774,54227.8
2022-12-19,647015.8,-1.1024,47015.8
2022-12-20,645731.22,-0.1985,45731.22
2022-12-21,645046.28,-0.1061,45046.28
2022-12-22,641316.65,-0.5782,41316.65
2022-12-23,640234.9,-0.1687,40234.9
2022-12-26,642681.69,0.3822,42681.69
2022-12-27,644030.6,0.2099,44030.6
2022-12-28,640966.35,-0.4758,40966.35
2022-12-29,638489.05,-0.3865,38489.05
2022-12-30,641884.7,0.5318,41884.7
2023-01-03,644636.05,0.4286,44636.05
2023-01-04,647358.16,0.4223,47358.16
2023-01-05,647227.3,-0.0202,47227.3
2023-01-06,645177.29,-0.3167,45177.29
2023-01-09,646889.28,0.2654,46889.28
2023-01-10,644972.18,-0.2964,44972.18
2023-01-11,642688.2,-0.3541,42688.2
2023-01-12,643217.14,0.0823,43217.14
2023-01-13,644699.44,0.2305,44699.44
2023-01-16,647480.17,0.4313,47480.17
2023-01-17,646803.09,-0.1046,46803.09
2023-01-18,649486.92,0.4149,49486.92
2023-01-19,650628.56,0.1758,50628.56
2023-01-20,652863.31,0.3435,52863.31
2023-01-30,658255.82,0.826,58255.82
2023-01-31,660890.72,0.4003,60890.72
2023-02-01,664868.8,0.6019,64868.8
2023-02-02,665655.48,0.1183,65655.48
2023-02-03,665389.86,-0.0399,65389.86
2023-02-06,666230.4,0.1263,66230.4
2023-02-07,668433.65,0.3307,68433.65
2023-02-08,667774.71,-0.0986,67774.71
2023-02-09,669722.75,0.2917,69722.75
2023-02-10,670781.23,0.158,70781.23
2023-02-13,672741.35,0.2922,72741.35
2023-02-14,673238.01,0.0738,73238.01
2023-02-15,673378.82,0.0209,73378.82
2023-02-16,667031.14,-0.9427,67031.14
2023-02-17,666715.17,-0.0474,66715.17
2023-02-20,669806.91,0.4637,69806.91
2023-02-21,671044.77,0.1848,71044.77
2023-02-22,671172.56,0.019,71172.56
2023-02-23,671434.44,0.039,71434.44
2023-02-24,671819.67,0.0574,71819.67
2023-02-27,669095.01,-0.4056,69095.01
2023-02-28,672905.56,0.5695,72905.56
2023-03-01,674354.62,0.2153,74354.62
2023-03-02,674136.31,-0.0324,74136.31
2023-03-03,673777.71,-0.0532,73777.71
2023-03-06,673539.09,-0.0354,73539.09
2023-03-07,668603.21,-0.7328,68603.21
2023-03-08,670818.14,0.3313,70818.14
2023-03-09,671001.64,0.0274,71001.64
2023-03-10,667033.18,-0.5914,67033.18
2023-03-13,667052.73,0.0029,67052.73
